a:	-1356	-14776	-5244	
a:	-1504	-14672	-4932	
a:	-1496	-14932	-4684	
a:	-1100	-14808	-4352	
a:	-1256	-14768	-4144	
a:	-948	-14864	-3936	
a:	-1116	-15196	-3224	
a:	-660	-14852	-3416	
a:	-912	-15304	-3032	
a:	-836	-15388	-3456	
a:	-804	-15640	-2440	
a:	-496	-15356	-2580	
a:	-784	-15692	-2156	
a:	-688	-15552	-2696	
a:	-696	-15608	-2260	
a:	-384	-15712	-1828	
a:	-324	-15940	-1748	
a:	-380	-15784	-1756	
a:	-392	-15920	-1720	
a:	-424	-15928	-1740	
a:	-312	-16008	-1548	
a:	-172	-16044	-1268	
a:	-156	-15856	-1160	
a:	-156	-16028	-1148	
a:	-8	-16200	-1140	
a:	-100	-15980	-1048	
a:	-88	-16200	-1324	
a:	84	-16164	-944	
a:	-36	-16024	-1232	
a:	-84	-16184	-1196	
a:	80	-16164	-900	
a:	164	-16028	-908	
a:	-12	-16184	-804	
a:	-96	-16224	-760	
a:	-32	-16080	-804	
a:	224	-16220	-616	
a:	32	-16184	-376	
a:	216	-16248	-156	
a:	52	-16232	-8	
a:	160	-16136	52	
a:	424	-16216	-20	
a:	568	-16208	-136	
a:	428	-16268	0	
a:	412	-16096	60	
a:	388	-16140	-156	
a:	404	-16276	72	
a:	200	-16272	-72	
a:	144	-16184	68	
a:	84	-16432	124	
a:	192	-16488	168	
a:	60	-16200	40	
a:	-132	-16428	-308	
a:	-44	-16328	40	
a:	76	-16336	396	
a:	232	-16248	240	
a:	292	-16392	136	
a:	208	-16328	268	
a:	348	-16512	116	
a:	200	-16400	228	
a:	304	-16316	440	
a:	480	-16464	448	
a:	-100	-16324	232	
a:	-180	-16308	428	
a:	76	-16348	548	
a:	236	-16280	172	
a:	376	-16232	152	
a:	408	-16280	312	
a:	60	-16208	444	
a:	256	-16232	272	
a:	224	-16008	16	
a:	240	-15776	716	
a:	444	-16168	4	
a:	2084	-15896	-376	
a:	2704	-16044	-80	
a:	2924	-16488	-1016	
a:	3028	-16868	-1564	
a:	2900	-16908	-512	
a:	2128	-16144	-700	
a:	2828	-15220	-920	
a:	3316	-15392	-648	
a:	3212	-15688	-1072	
a:	4168	-15660	-1712	
a:	3932	-15472	-1152	
a:	3504	-15656	-1224	
a:	3032	-15324	-1332	
a:	2500	-15680	-1260	
a:	2516	-15812	-728	
a:	2880	-15876	-1452	
a:	2824	-16060	-1148	
a:	2724	-15840	-1472	
a:	3364	-15616	-1064	
a:	3884	-15544	-804	
a:	3668	-14568	-1552	
a:	3620	-13164	-1448	
a:	40	-15580	588	
a:	-4240	-19448	-3352	
a:	-152	-19748	-1620	
a:	-864	-17504	2548	
a:	-440	-19184	1408	
a:	-1560	-17348	1492	
a:	-2288	-15712	2224	
a:	-3648	-15608	2060	
a:	-3140	-15384	1608	
a:	-2288	-15380	1480	
a:	-2416	-15440	1252	
a:	-2516	-15776	1324	
a:	-1748	-16588	1536	
a:	-1884	-16140	1432	
a:	-1868	-16068	1372	
a:	-2472	-16228	1476	
a:	-2624	-16096	2232	
a:	-2376	-15680	20	
a:	-2716	-16012	700	
a:	-2700	-15520	1508	
a:	-1952	-15440	-692	
a:	3264	-16004	156	
a:	5904	-15424	208	
a:	4280	-20632	1568	
a:	-2184	-18764	1884	
a:	-468	-16560	1440	
a:	2008	-16684	2728	
a:	2724	-16424	2364	
a:	3236	-16376	1544	
a:	3064	-15952	2456	
a:	2272	-16468	2352	
a:	2288	-15972	2620	
a:	2572	-15720	2156	
a:	2792	-16156	2132	
a:	2864	-16088	2392	
a:	2728	-16152	1896	
a:	2664	-16272	2440	
a:	3116	-15912	2088	
a:	3072	-15716	1244	
a:	3892	-16340	1740	
a:	3828	-16216	2108	
a:	2100	-15772	2112	
a:	216	-16160	2012	
a:	-5276	-22516	-592	
a:	1628	-13492	2048	
a:	-1736	-13308	2416	
a:	44	-19964	2592	
a:	212	-18208	1848	
a:	-44	-16876	2804	
a:	-1168	-16932	3424	
a:	-2080	-15988	3332	
a:	-2436	-15616	2792	
a:	-2208	-15944	2072	
a:	-1876	-16436	1928	
a:	-1684	-16224	2004	
a:	-1528	-16088	2836	
a:	-1468	-16512	2472	
a:	-1504	-16472	1872	
a:	-2008	-16304	3468	
a:	-2736	-15804	2400	
a:	-2184	-15968	2020	
a:	-2172	-14932	1752	
a:	-1228	-15372	772	
a:	1340	-15400	216	
a:	4768	-18460	-380	
a:	3236	-19844	872	
a:	-4	-17048	2256	
a:	-2072	-18300	796	
a:	1872	-17060	2160	
a:	2784	-15828	2268	
a:	3560	-16360	2764	
a:	2972	-15876	2664	
a:	2732	-15640	1540	
a:	2768	-15600	2000	
a:	2552	-16068	2460	
a:	2468	-16096	2096	
a:	2328	-16220	2476	
a:	2736	-16284	2764	
a:	2804	-16204	2356	
a:	2916	-15932	1568	
a:	3360	-15284	716	
a:	4304	-15580	2120	
a:	2656	-14984	2180	
a:	-212	-17564	1016	
a:	-3148	-20668	-2516	
a:	2476	-15992	1588	
a:	-2584	-13564	480	
a:	396	-18980	1852	
a:	0	-16912	1140	
a:	-2096	-15404	1120	
a:	-2564	-15512	1772	
a:	-2380	-16132	1352	
a:	-2312	-15896	1436	
a:	-2280	-16360	1480	
a:	-2228	-16536	1292	
a:	-1756	-16268	1700	
a:	-1848	-15940	2016	
a:	-1828	-16652	1008	
a:	-2128	-16592	1460	
a:	-2632	-16688	960	
a:	-2204	-16536	1348	
a:	-2640	-15816	2040	
a:	-3504	-14544	2892	
a:	-3816	-13892	3320	
a:	-388	-19760	-2968	
a:	3784	-22772	5692	
a:	4768	-10520	888	
a:	-1920	-15644	1444	
a:	-2692	-17716	1936	
a:	2184	-16352	2780	
a:	1580	-16300	2052	
a:	916	-16984	2372	
a:	764	-16524	2576	
a:	320	-16272	2824	
a:	388	-15820	2928	
a:	712	-16616	2896	
a:	1156	-17052	2368	
a:	1128	-16276	2732	
a:	724	-16276	2820	
a:	920	-16332	3132	
a:	1012	-16592	3180	
a:	776	-16408	3076	
a:	788	-16368	3048	
a:	824	-16476	3172	
a:	768	-16596	2976	
a:	824	-16564	3488	
a:	932	-16504	3400	
a:	752	-16408	3284	
a:	592	-16436	3332	
a:	640	-16480	3000	
a:	644	-16444	3216	
a:	556	-16560	3212	
a:	624	-16692	2812	
a:	552	-16672	2800	
a:	724	-16600	2584	
a:	820	-16576	3036	
a:	444	-16416	2844	
a:	460	-16408	2944	
a:	576	-16360	2908	
a:	424	-16508	2700	
a:	696	-16560	2372	
