a:	-4224	-16396	-1804	
a:	-3932	-15748	-1596	
a:	-2616	-16068	-324	
a:	-2240	-15920	-980	
a:	-1516	-16336	-296	
a:	-360	-15932	-264	
a:	-508	-15892	-192	
a:	-1132	-15720	-36	
a:	-1436	-16212	-508	
a:	-1044	-15936	-52	
a:	-784	-16092	796	
a:	-952	-16616	884	
a:	-804	-16672	960	
a:	-548	-16180	524	
a:	-616	-16240	276	
a:	-476	-16524	216	
a:	-416	-16544	1028	
a:	-400	-16600	980	
a:	-300	-16348	1416	
a:	-476	-16272	1072	
a:	-460	-16596	1316	
a:	-412	-16472	1704	
a:	-460	-16404	2168	
a:	-412	-16392	1372	
a:	-268	-16552	2192	
a:	-340	-16488	2052	
a:	-104	-16448	1952	
a:	-264	-16548	2044	
a:	-524	-16492	2056	
a:	-384	-16528	2176	
a:	-316	-16568	2056	
a:	-436	-16576	2560	
a:	-360	-16540	2496	
a:	-440	-16468	2276	
a:	-424	-16608	2300	
a:	-492	-16428	2308	
a:	-444	-16512	2352	
a:	-504	-16260	2572	
a:	-412	-16448	2176	
a:	-220	-16436	2264	
a:	-192	-16564	2464	
a:	-288	-16420	2248	
a:	-552	-16356	1960	
a:	-320	-16636	2104	
a:	-204	-16720	2100	
a:	-328	-16704	1756	
a:	-300	-16532	2408	
a:	-332	-16420	2100	
a:	-760	-16500	1908	
a:	-796	-16468	1704	
a:	-676	-16608	1568	
a:	-676	-16660	1712	
a:	-540	-16352	1844	
a:	-704	-16164	924	
a:	-824	-16360	1676	
a:	-1296	-16160	1924	
a:	-1316	-16108	1416	
a:	-896	-16076	1700	
a:	-552	-16116	1184	
a:	4	-16500	1184	
a:	384	-16112	880	
a:	1112	-16412	1348	
a:	1716	-16704	632	
a:	1264	-18044	420	
a:	1376	-17120	816	
a:	1484	-16312	1076	
a:	1408	-16412	1068	
a:	1604	-16464	1000	
a:	1232	-16408	224	
a:	1748	-16168	868	
a:	1960	-16292	1092	
a:	2132	-16316	672	
a:	2144	-16080	984	
a:	2272	-16076	684	
a:	2124	-16204	772	
a:	1840	-16308	948	
a:	1708	-16472	1228	
a:	1580	-16516	1156	
a:	1848	-16324	1304	
a:	2256	-16368	1152	
a:	1964	-16360	876	
a:	1844	-16044	940	
a:	2784	-16012	968	
a:	2992	-15860	256	
a:	2248	-16304	1032	
a:	2480	-16564	1592	
a:	2340	-15952	360	
a:	1344	-16992	624	
a:	-684	-18416	-516	
a:	-280	-16660	1564	
a:	-308	-13636	1288	
a:	472	-16476	1884	
a:	-4	-17432	1380	
a:	-936	-16920	1564	
a:	-1152	-16040	1504	
a:	-1064	-16308	1952	
a:	-1120	-16240	1728	
a:	-1408	-16556	1604	
a:	-1940	-16596	1252	
a:	-2224	-16256	2028	
